"Ref","Key","BasisDocument","Agreement","Partner","Amount","Payee","PlaningTransactionBasis","Commission","ProfitLossCenter","ExpenseType","AdditionalAnalytic","FinancialMovementType","LegalNameContract"
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488ce","05314549-a48c-4881-acbd-0896f2751e82","","","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf126e999cc58","10","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf126e999cc59","","0","","","","",""
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cf","cf317826-de4a-4632-bb5b-180fbad6f0be","","","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1870","2 000","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf116b32709a2","","0","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef023","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed95fbced11eaf114c59ef02b","","",""
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cf","70cf4ffb-c9fe-438a-80b1-11e35cbb2d69","","","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1871","900","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf116b32709a3","","0","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef023","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed95fbced11eaf114c59ef02b","","",""
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cf","712396d9-dca0-4b3f-8eb8-896f7cd91b64","","","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf124a9ba086a","300","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf124a9ba086b","","0","","","","",""
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cf","62db4ade-6302-4098-9068-31c40da5f9dd","","","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf126e999cc58","200","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf126e999cc59","","0","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef023","","","",""
"e1cib/data/Document.BankPayment?ref=b763cea576e730ff11eba826f6a488cf","5ba6c90f-bc62-432c-8e33-47d788ce8bb0","e1cib/data/Document.PurchaseInvoice?ref=b76790ebcbe4b2b311ebb3cc0f45eee2","e1cib/data/Catalog.Agreements?ref=aa78120ed92fbced11eaf126e999cc5b","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf126e999cc58","90","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf126e999cc59","","0","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef023","","","",""
"e1cib/data/Document.BankPayment?ref=b76e892a86cabee011ebf915ceae8366","cf317826-de4a-4632-bb5b-180fbad6f0be","","","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1870","2 000","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf116b32709a2","","0","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef023","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed95fbced11eaf114c59ef02b","","",""
"e1cib/data/Document.BankPayment?ref=b76e892a86cabee011ebf915ceae8366","70cf4ffb-c9fe-438a-80b1-11e35cbb2d69","","","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf113ba6c1871","900","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf116b32709a3","","0","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef023","e1cib/data/Catalog.ExpenseAndRevenueTypes?ref=aa78120ed95fbced11eaf114c59ef02b","","",""
"e1cib/data/Document.BankPayment?ref=b76e892a86cabee011ebf915ceae8366","712396d9-dca0-4b3f-8eb8-896f7cd91b64","","","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf124a9ba086a","300","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf124a9ba086b","","0","","","","",""
"e1cib/data/Document.BankPayment?ref=b76e892a86cabee011ebf915ceae8366","62db4ade-6302-4098-9068-31c40da5f9dd","","","e1cib/data/Catalog.Partners?ref=aa78120ed92fbced11eaf126e999cc58","200","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf126e999cc59","","0","e1cib/data/Catalog.BusinessUnits?ref=aa78120ed92fbced11eaf114c59ef023","","","",""
