"Ref","DeletionMark","Parent","IsFolder","Code","SetByDefault","Posting","Description_en","Description_hash","Description_ru","Description_tr","UniqueID"
"e1cib/data/Catalog.ObjectStatuses?ref=b762b13668d0905011eb7674324a4a1e","False","e1cib/data/Catalog.ObjectStatuses?refName=InventoryTransferOrder","False","17","False","True","Согласовано","","","","_ba6e42553f084d648795b9d2e7f28b13"
"e1cib/data/Catalog.ObjectStatuses?ref=b762b13668d0905011eb7674324a4a1f","False","e1cib/data/Catalog.ObjectStatuses?refName=OutgoingPaymentOrder","False","18","True","False","На согласовании","","","","_04e45f2868b84b18a7bb32cb5d623a18"
"e1cib/data/Catalog.ObjectStatuses?ref=b762b13668d0905011eb7674324a4a20","False","e1cib/data/Catalog.ObjectStatuses?refName=OutgoingPaymentOrder","False","19","False","False","Согласовано","","","","_ae13b9000d764b8eb50e83eef27451e3"
"e1cib/data/Catalog.ObjectStatuses?ref=b762b13668d0905011eb7674324a4a21","False","e1cib/data/Catalog.ObjectStatuses?refName=ReconciliationStatement","False","20","True","True","Согласовано","","","","_865788d8a36b46df96cfad57a5afe67d"
"e1cib/data/Catalog.ObjectStatuses?refName=Complete","False","e1cib/data/Catalog.ObjectStatuses?refName=PhysicalCountByLocation","False","21","False","True","Завершено","","","","_7c7e7273456b4fc594f457fa7d369765"
"e1cib/data/Catalog.ObjectStatuses?ref=b762b13668d0905011eb7674324a4a22","False","e1cib/data/Catalog.ObjectStatuses?refName=PhysicalCountByLocation","False","22","True","False","Подготовлено","","","","_a6dc69ec771a4802820a1578ce0ff11f"
"e1cib/data/Catalog.ObjectStatuses?ref=b762b13668d0905011eb7674324a4a23","False","e1cib/data/Catalog.ObjectStatuses?refName=PhysicalInventory","False","23","True","False","Подготовлено","","","","_f6a41eee9db84589ad93300ec634c8a3"
"e1cib/data/Catalog.ObjectStatuses?ref=b762b13668d0905011eb7674324a4a24","False","e1cib/data/Catalog.ObjectStatuses?refName=PhysicalInventory","False","24","False","True","Завершено","","","","_c1209341a53b4023b524b57081157e6a"
"e1cib/data/Catalog.ObjectStatuses?ref=b76bafe8d8921be311ebc44d41a46794","False","e1cib/data/Catalog.ObjectStatuses?refName=IncomingPaymentOrder","False","25","False","False","На согласовании","","","","_b9335c1f9b0d40a9a77e0c86bdf06260"
"e1cib/data/Catalog.ObjectStatuses?ref=b76bafe8d8921be311ebc44d41a46795","False","e1cib/data/Catalog.ObjectStatuses?refName=IncomingPaymentOrder","False","26","True","True","Согласовано","","","","_52af65cf7e95432f9414dd8a5f862e13"
