"UserOrGroup","MetadataObject","AttributeName","KindOfAttribute","Value"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.IncomingPaymentOrder","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf128cde918b4"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.IncomingPaymentOrder","Currency","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.InternalSupplyRequest","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.InternalSupplyRequest","Store","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.InventoryTransfer","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.InventoryTransfer","StoreReceiver","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00d"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.InventoryTransfer","StoreSender","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.InventoryTransfer","StoreTransit","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.InventoryTransferOrder","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.InventoryTransferOrder","StoreReceiver","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00d"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.InventoryTransferOrder","StoreSender","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.InvoiceMatch","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.OutgoingPaymentOrder","Account","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.CashAccounts?ref=aa78120ed92fbced11eaf113ba6c186a"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.OutgoingPaymentOrder","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.OutgoingPaymentOrder","Currency","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Currencies?ref=aa78120ed92fbced11eaf113ba6c1856"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.PurchaseInvoice","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf128cde918b4"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.PurchaseInvoice","ItemList.Store","Enum.KindsOfAttributes.Column","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.PurchaseOrder","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf128cde918b4"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.PurchaseOrder","ItemList.Store","Enum.KindsOfAttributes.Column","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00d"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.PurchaseReturn","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf128cde918b4"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.PurchaseReturnOrder","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf128cde918b4"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.ReconciliationStatement","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf128cde918b4"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.SalesInvoice","Agreement","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Agreements?ref=aa78120ed92fbced11eaf118bdb7bb73"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.SalesInvoice","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.SalesInvoice","ItemList.Store","Enum.KindsOfAttributes.Column","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00b"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.SalesOrder","Agreement","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Agreements?ref=aa78120ed92fbced11eaf118bdb7bb73"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.SalesOrder","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.SalesOrder","ItemList.Store","Enum.KindsOfAttributes.Column","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00b"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.SalesReturn","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf128cde918b4"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.SalesReturnOrder","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf128cde918b4"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.ShipmentConfirmation","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.ShipmentConfirmation","ItemList.Store","Enum.KindsOfAttributes.Column","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.Unbundling","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.PlannedReceiptReservation","Company","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Companies?ref=aa78120ed92fbced11eaf113ba6c185c"
"e1cib/data/Catalog.Users?ref=aa7f120ed92fbced11eb13d7279770c0","Document.Unbundling","Store","Enum.KindsOfAttributes.Regular","e1cib/data/Catalog.Stores?ref=aa78120ed92fbced11eaf114c59ef00d"
"e1cib/data/Catalog.UserGroups?ref=aa7c120ed92fbced11eb080cfa094a6b","Catalog.AddAttributeAndPropertyValues","Use_object_with_deletion_mark","Enum.KindsOfAttributes.Custom","False"
"e1cib/data/Catalog.UserGroups?ref=aa7c120ed92fbced11eb080cfa094a6b","Catalog.Items","Use_object_with_deletion_mark","Enum.KindsOfAttributes.Custom","False"
"e1cib/data/Catalog.UserGroups?ref=aa7c120ed92fbced11eb080cfa094a6b","Catalog.Partners","Use_object_with_deletion_mark","Enum.KindsOfAttributes.Custom","False"
