"Ref","FullName","Synonym"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb767f10805e36","Document.PurchaseInvoice","Purchase invoice"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb767f10805e36","Document.GoodsReceipt","Goods receipt"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb767f10805e36","Document.PurchaseOrder","Purchase order"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb767f10805e37","Document.PurchaseInvoice","Purchase invoice"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb767f10805e37","Document.ShipmentConfirmation","Shipment confirmation"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb767f10805e37","Document.SalesOrder","Sales order"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33af","Document.PurchaseReturn","Purchase return"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33af","Document.GoodsReceipt","Goods receipt"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33af","Document.SalesInvoice","Sales invoice"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33af","Document.PurchaseInvoice","Purchase invoice"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33af","Document.ShipmentConfirmation","Shipment confirmation"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33af","Document.OpeningEntry","Opening entry"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33af","Document.RetailSalesReceipt","Retail sales receipt"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33af","Document.StockAdjustmentAsSurplus","Stock adjustment as surplus"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33af","Document.SalesOrder","Sales order"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33af","Document.RetailReturnReceipt","Retail return receipt"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33af","Document.PhysicalInventory","Physical inventory"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33af","Document.Unbundling","Unbundling"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33af","Document.StockAdjustmentAsWriteOff","Stock adjustment as write-off"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33af","Document.Bundling","Bundling"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33af","Document.InventoryTransfer","Inventory transfer"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33af","Document.SalesReturn","Sales return"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33af","Document.PurchaseOrder","Purchase order"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33ae","Document.PurchaseReturn","Purchase return"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33ae","Document.GoodsReceipt","Goods receipt"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33ae","Document.InventoryTransferOrder","Inventory transfer order"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33ae","Document.SalesInvoice","Sales invoice"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33ae","Document.PurchaseReturnOrder","Purchase return order"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33ae","Document.PurchaseInvoice","Purchase invoice"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33ae","Document.ShipmentConfirmation","Shipment confirmation"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33ae","Document.OpeningEntry","Opening entry"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33ae","Document.RetailSalesReceipt","Retail sales receipt"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33ae","Document.StockAdjustmentAsSurplus","Stock adjustment as surplus"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33ae","Document.SalesOrder","Sales order"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33ae","Document.RetailReturnReceipt","Retail return receipt"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33ae","Document.PhysicalInventory","Physical inventory"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33ae","Document.Unbundling","Unbundling"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33ae","Document.StockAdjustmentAsWriteOff","Stock adjustment as write-off"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33ae","Document.Bundling","Bundling"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33ae","Document.InventoryTransfer","Inventory transfer"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33ae","Document.SalesReturn","Sales return"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33ae","Document.PurchaseOrder","Purchase order"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33ad","Document.GoodsReceipt","Goods receipt"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33ac","Document.ShipmentConfirmation","Shipment confirmation"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33b1","Document.InventoryTransferOrder","Inventory transfer order"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33b1","Document.PurchaseInvoice","Purchase invoice"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33b1","Document.GoodsReceipt","Goods receipt"
"e1cib/data/ChartOfCharacteristicTypes.CustomUserSettings?ref=b762b13668d0905011eb7690377f33b1","Document.PlannedReceiptReservation","Planned receipt reservation"
