"Ref","DeletionMark","Code","Description","Agreement","Company","Currency","LegalName","Partner","PriceIncludeTax","Store","Unit","ItemKey","ProfitLossCenter","Basis","RowID","ProcurementMethod","StoreSender","StoreReceiver","TransactionTypeSC","TransactionTypeGR","TransactionType"
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebeab0dfce223e","False","15","414cff43-632f-4b1e-b4e8-619473e3b3b6","","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7663e35d7964","","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb766bf96b2771","e1cib/data/Catalog.Partners?ref=b762b13668d0905011eb7663e35d794e","False","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6862","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2751","","e1cib/data/Document.GoodsReceipt?ref=b76cbacb2511e57d11ebeab0dfce223f","414cff43-632f-4b1e-b4e8-619473e3b3b6","","","","","Enum.GoodsReceiptTransactionTypes.Purchase","Enum.GoodsReceiptTransactionTypes.Purchase"
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebeab0dfce224b","False","16","863692b0-e8c1-433a-95b4-b24ee8d4e0f4","e1cib/data/Catalog.Agreements?ref=b76cbacb2511e57d11ebeab0dfce224a","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7663e35d7964","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","e1cib/data/Catalog.Companies?ref=b76cbacb2511e57d11ebeab0dfce2249","e1cib/data/Catalog.Partners?ref=b76cbacb2511e57d11ebeab0dfce2248","False","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6861","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b274f","e1cib/data/Catalog.BusinessUnits?ref=b762b13668d0905011eb7663e35d795a","e1cib/data/Document.RetailSalesReceipt?ref=b76cbacb2511e57d11ebeab0dfce224d","863692b0-e8c1-433a-95b4-b24ee8d4e0f4","","","","","",""
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebeab0dfce224c","False","17","045e8947-b0ac-424d-ac1b-2bdb4d218c56","e1cib/data/Catalog.Agreements?ref=b76cbacb2511e57d11ebeab0dfce224a","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7663e35d7964","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","e1cib/data/Catalog.Companies?ref=b76cbacb2511e57d11ebeab0dfce2249","e1cib/data/Catalog.Partners?ref=b76cbacb2511e57d11ebeab0dfce2248","False","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6861","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb76684b9f687e","e1cib/data/Catalog.BusinessUnits?ref=b762b13668d0905011eb7663e35d795a","e1cib/data/Document.RetailSalesReceipt?ref=b76cbacb2511e57d11ebeab0dfce224d","045e8947-b0ac-424d-ac1b-2bdb4d218c56","","","","","",""
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebeab0dfce224e","False","18","df8785e6-457e-4b18-84bf-82587c7e934e","e1cib/data/Catalog.Agreements?ref=b762b13668d0905011eb767f10805e2b","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7663e35d7964","e1cib/data/Catalog.Currencies?ref=b762b13668d0905011eb7663e35d795e","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb767f10805e29","e1cib/data/Catalog.Partners?ref=b762b13668d0905011eb7663e35d7954","True","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6861","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2751","e1cib/data/Catalog.BusinessUnits?ref=b762b13668d0905011eb7663e35d795a","e1cib/data/Document.RetailSalesReceipt?ref=b76cbacb2511e57d11ebeab0dfce224f","df8785e6-457e-4b18-84bf-82587c7e934e","","","","","",""
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebead9332bee67","False","19","269d6fa7-84d2-4f2d-a718-fd36267e6335","","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb7663e35d7964","","e1cib/data/Catalog.Companies?ref=b762b13668d0905011eb766bf96b276f","e1cib/data/Catalog.Partners?ref=b762b13668d0905011eb7663e35d794d","False","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6861","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b274f","e1cib/data/Catalog.BusinessUnits?ref=b762b13668d0905011eb7663e35d7958","e1cib/data/Document.ShipmentConfirmation?ref=b76cbacb2511e57d11ebeab0dfce2233","269d6fa7-84d2-4f2d-a718-fd36267e6335","","","","Enum.ShipmentConfirmationTransactionTypes.ReturnToVendor","","Enum.ShipmentConfirmationTransactionTypes.ReturnToVendor"
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebead9332bee68","False","20","3f07aa8d-e408-4628-895b-041fc4edf1c4","","","","","","False","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6861","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb76684b9f687e","e1cib/data/Catalog.BusinessUnits?ref=b762b13668d0905011eb7663e35d7958","e1cib/data/Document.PhysicalInventory?ref=b762b13668d0905011eb7674324a4a44","3f07aa8d-e408-4628-895b-041fc4edf1c4","","","","","",""
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebead9332bee69","False","21","a8770d93-2aed-4276-9f05-c44bdaed1c6c","","","","","","False","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6861","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b274f","e1cib/data/Catalog.BusinessUnits?ref=b762b13668d0905011eb7663e35d7958","e1cib/data/Document.PhysicalInventory?ref=b762b13668d0905011eb7674324a4a44","a8770d93-2aed-4276-9f05-c44bdaed1c6c","","","","","",""
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebead9332bee6a","False","22","9511cb73-fc48-469c-9f4f-2ec4ce189c43","","","","","","False","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6861","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2751","e1cib/data/Catalog.BusinessUnits?ref=b762b13668d0905011eb7663e35d7958","e1cib/data/Document.PhysicalInventory?ref=b762b13668d0905011eb7674324a4a44","9511cb73-fc48-469c-9f4f-2ec4ce189c43","","","","","",""
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebead9332bee6b","False","23","9e7c0e10-915a-4a49-ba70-d3ddaff86cad","","","","","","False","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6861","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2757","e1cib/data/Catalog.BusinessUnits?ref=b762b13668d0905011eb7663e35d7958","e1cib/data/Document.PhysicalInventory?ref=b762b13668d0905011eb7674324a4a44","9e7c0e10-915a-4a49-ba70-d3ddaff86cad","","","","","",""
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebead9332bee6c","False","24","beb0d9f2-18c6-4084-aebe-6b39d2940d82","","","","","","False","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6861","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2758","e1cib/data/Catalog.BusinessUnits?ref=b762b13668d0905011eb7663e35d7958","e1cib/data/Document.PhysicalInventory?ref=b762b13668d0905011eb7674324a4a44","beb0d9f2-18c6-4084-aebe-6b39d2940d82","","","","","",""
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebead9332bee6d","False","25","bf6461b0-0dcf-4185-b5fc-899567878349","","","","","","False","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6861","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b2759","e1cib/data/Catalog.BusinessUnits?ref=b762b13668d0905011eb7663e35d7958","e1cib/data/Document.PhysicalInventory?ref=b762b13668d0905011eb7674324a4a44","bf6461b0-0dcf-4185-b5fc-899567878349","","","","","",""
"e1cib/data/Catalog.RowIDs?ref=b76cbacb2511e57d11ebead9332bee6e","False","26","ea841847-2cda-4efa-bc00-7d641aff083e","","","","","","False","e1cib/data/Catalog.Stores?ref=b762b13668d0905011eb76684b9f6861","e1cib/data/Catalog.Units?ref=b762b13668d0905011eb76684b9f687b","e1cib/data/Catalog.ItemKeys?ref=b762b13668d0905011eb766bf96b275c","e1cib/data/Catalog.BusinessUnits?ref=b762b13668d0905011eb7663e35d7958","e1cib/data/Document.PhysicalInventory?ref=b762b13668d0905011eb7674324a4a44","ea841847-2cda-4efa-bc00-7d641aff083e","","","","","",""
