"Recorder","Row ID","Step","Basis","Row ref","Quantity"
"Purchase order 1 dated 07.10.2021 16:05:14","323ed282-6c37-4443-b3b5-6abd5531e1b7","PO&PI","Sales order 503 dated 30.03.2021 11:57:06","323ed282-6c37-4443-b3b5-6abd5531e1b7","10,000"
"Purchase order 1 dated 07.10.2021 16:05:14","40d4db8e-5a7c-4d0f-878c-4f054b2a01cf","PO&PI","Sales order 503 dated 30.03.2021 11:57:06","40d4db8e-5a7c-4d0f-878c-4f054b2a01cf","5,000"
"Purchase order 1 dated 07.10.2021 16:05:14","b07db6dd-4d01-469c-a8e8-ccfb69c27f28","PO&PI","Sales order 503 dated 30.03.2021 11:57:06","b07db6dd-4d01-469c-a8e8-ccfb69c27f28","10,000"
"Purchase order 1 dated 07.10.2021 16:05:14","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","PI&GR","Purchase order 1 dated 07.10.2021 16:05:14","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","5,000"
"Purchase order 1 dated 07.10.2021 16:05:14","653068c5-a3a6-4d27-9e5e-1fc8102f7d91","PI&GR","Purchase order 1 dated 07.10.2021 16:05:14","653068c5-a3a6-4d27-9e5e-1fc8102f7d91","8,000"
"Purchase order 1 dated 07.10.2021 16:05:14","3cddf099-4bbf-4c9c-807a-bb2388f83e42","PI&GR","Purchase order 1 dated 07.10.2021 16:05:14","3cddf099-4bbf-4c9c-807a-bb2388f83e42","2,000"
"Purchase order 1 dated 07.10.2021 16:05:14","647c0486-7e3c-49c1-aca2-7ffcc3246b18","PI&GR","Purchase order 1 dated 07.10.2021 16:05:14","647c0486-7e3c-49c1-aca2-7ffcc3246b18","11,000"
"Purchase order 1 dated 07.10.2021 16:05:14","4a003d08-12af-4c34-98d5-5cdeb84616de","PI&GR","Purchase order 1 dated 07.10.2021 16:05:14","4a003d08-12af-4c34-98d5-5cdeb84616de","15,000"
"Purchase order 1 dated 07.10.2021 16:05:14","323ed282-6c37-4443-b3b5-6abd5531e1b7","PI&GR","Purchase order 1 dated 07.10.2021 16:05:14","323ed282-6c37-4443-b3b5-6abd5531e1b7","10,000"
"Purchase order 1 dated 07.10.2021 16:05:14","40d4db8e-5a7c-4d0f-878c-4f054b2a01cf","PI&GR","Purchase order 1 dated 07.10.2021 16:05:14","40d4db8e-5a7c-4d0f-878c-4f054b2a01cf","5,000"
"Purchase order 1 dated 07.10.2021 16:05:14","b07db6dd-4d01-469c-a8e8-ccfb69c27f28","PI&GR","Purchase order 1 dated 07.10.2021 16:05:14","b07db6dd-4d01-469c-a8e8-ccfb69c27f28","20,000"
"Purchase order 1 dated 07.10.2021 16:05:14","0d5bde0d-c76e-4527-8f36-6e85c10b7b0a","PI&GR","Purchase order 1 dated 07.10.2021 16:05:14","0d5bde0d-c76e-4527-8f36-6e85c10b7b0a","40,000"
"Purchase invoice 1 dated 07.10.2021 16:05:26","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","PI&GR","Purchase order 1 dated 07.10.2021 16:05:14","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","4,000"
"Purchase invoice 1 dated 07.10.2021 16:05:26","653068c5-a3a6-4d27-9e5e-1fc8102f7d91","PI&GR","Purchase order 1 dated 07.10.2021 16:05:14","653068c5-a3a6-4d27-9e5e-1fc8102f7d91","8,000"
"Purchase invoice 1 dated 07.10.2021 16:05:26","3cddf099-4bbf-4c9c-807a-bb2388f83e42","PI&GR","Purchase order 1 dated 07.10.2021 16:05:14","3cddf099-4bbf-4c9c-807a-bb2388f83e42","2,000"
"Purchase invoice 1 dated 07.10.2021 16:05:26","647c0486-7e3c-49c1-aca2-7ffcc3246b18","PI&GR","Purchase order 1 dated 07.10.2021 16:05:14","647c0486-7e3c-49c1-aca2-7ffcc3246b18","11,000"
"Purchase invoice 1 dated 07.10.2021 16:05:26","4a003d08-12af-4c34-98d5-5cdeb84616de","PI&GR","Purchase order 1 dated 07.10.2021 16:05:14","4a003d08-12af-4c34-98d5-5cdeb84616de","15,000"
"Purchase invoice 1 dated 07.10.2021 16:05:26","323ed282-6c37-4443-b3b5-6abd5531e1b7","PI&GR","Purchase order 1 dated 07.10.2021 16:05:14","323ed282-6c37-4443-b3b5-6abd5531e1b7","10,000"
"Purchase invoice 1 dated 07.10.2021 16:05:26","40d4db8e-5a7c-4d0f-878c-4f054b2a01cf","PI&GR","Purchase order 1 dated 07.10.2021 16:05:14","40d4db8e-5a7c-4d0f-878c-4f054b2a01cf","5,000"
"Purchase invoice 1 dated 07.10.2021 16:05:26","0d5bde0d-c76e-4527-8f36-6e85c10b7b0a","PI&GR","Purchase order 1 dated 07.10.2021 16:05:14","0d5bde0d-c76e-4527-8f36-6e85c10b7b0a","40,000"
"Purchase invoice 1 dated 07.10.2021 16:05:26","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","GR","Purchase invoice 1 dated 07.10.2021 16:05:26","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","4,000"
"Purchase invoice 1 dated 07.10.2021 16:05:26","3cddf099-4bbf-4c9c-807a-bb2388f83e42","GR","Purchase invoice 1 dated 07.10.2021 16:05:26","3cddf099-4bbf-4c9c-807a-bb2388f83e42","3,000"
"Purchase invoice 1 dated 07.10.2021 16:05:26","4a003d08-12af-4c34-98d5-5cdeb84616de","GR","Purchase invoice 1 dated 07.10.2021 16:05:26","4a003d08-12af-4c34-98d5-5cdeb84616de","15,000"
"Purchase invoice 1 dated 07.10.2021 16:05:26","323ed282-6c37-4443-b3b5-6abd5531e1b7","GR","Purchase invoice 1 dated 07.10.2021 16:05:26","323ed282-6c37-4443-b3b5-6abd5531e1b7","10,000"
"Purchase invoice 1 dated 07.10.2021 16:05:26","40d4db8e-5a7c-4d0f-878c-4f054b2a01cf","GR","Purchase invoice 1 dated 07.10.2021 16:05:26","40d4db8e-5a7c-4d0f-878c-4f054b2a01cf","5,000"
"Purchase invoice 1 dated 07.10.2021 16:05:26","0d5bde0d-c76e-4527-8f36-6e85c10b7b0a","GR","Purchase invoice 1 dated 07.10.2021 16:05:26","0d5bde0d-c76e-4527-8f36-6e85c10b7b0a","40,000"
"Purchase invoice 1 dated 07.10.2021 16:05:26","647c0486-7e3c-49c1-aca2-7ffcc3246b18","SI&SC","Purchase invoice 1 dated 07.10.2021 16:05:26","647c0486-7e3c-49c1-aca2-7ffcc3246b18","11,000"
"Purchase invoice 1 dated 07.10.2021 16:05:26","653068c5-a3a6-4d27-9e5e-1fc8102f7d91","SI&SC","Purchase invoice 1 dated 07.10.2021 16:05:26","653068c5-a3a6-4d27-9e5e-1fc8102f7d91","8,000"
"Goods receipt 1 dated 07.10.2021 16:05:42","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","GR","Purchase invoice 1 dated 07.10.2021 16:05:26","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","4,000"
"Goods receipt 1 dated 07.10.2021 16:05:42","3cddf099-4bbf-4c9c-807a-bb2388f83e42","GR","Purchase invoice 1 dated 07.10.2021 16:05:26","3cddf099-4bbf-4c9c-807a-bb2388f83e42","3,000"
"Goods receipt 1 dated 07.10.2021 16:05:42","4a003d08-12af-4c34-98d5-5cdeb84616de","GR","Purchase invoice 1 dated 07.10.2021 16:05:26","4a003d08-12af-4c34-98d5-5cdeb84616de","15,000"
"Goods receipt 1 dated 07.10.2021 16:05:42","323ed282-6c37-4443-b3b5-6abd5531e1b7","GR","Purchase invoice 1 dated 07.10.2021 16:05:26","323ed282-6c37-4443-b3b5-6abd5531e1b7","10,000"
"Goods receipt 1 dated 07.10.2021 16:05:42","40d4db8e-5a7c-4d0f-878c-4f054b2a01cf","GR","Purchase invoice 1 dated 07.10.2021 16:05:26","40d4db8e-5a7c-4d0f-878c-4f054b2a01cf","5,000"
"Goods receipt 1 dated 07.10.2021 16:05:42","0d5bde0d-c76e-4527-8f36-6e85c10b7b0a","GR","Purchase invoice 1 dated 07.10.2021 16:05:26","0d5bde0d-c76e-4527-8f36-6e85c10b7b0a","40,000"
"Goods receipt 1 dated 07.10.2021 16:05:42","40d4db8e-5a7c-4d0f-878c-4f054b2a01cf","SI&SC","Goods receipt 1 dated 07.10.2021 16:05:42","40d4db8e-5a7c-4d0f-878c-4f054b2a01cf","5,000"
"Goods receipt 1 dated 07.10.2021 16:05:42","323ed282-6c37-4443-b3b5-6abd5531e1b7","SI&SC","Goods receipt 1 dated 07.10.2021 16:05:42","323ed282-6c37-4443-b3b5-6abd5531e1b7","10,000"
"Goods receipt 1 dated 07.10.2021 16:05:42","4a003d08-12af-4c34-98d5-5cdeb84616de","SI&SC","Goods receipt 1 dated 07.10.2021 16:05:42","4a003d08-12af-4c34-98d5-5cdeb84616de","15,000"
"Goods receipt 1 dated 07.10.2021 16:05:42","3cddf099-4bbf-4c9c-807a-bb2388f83e42","SI&SC","Goods receipt 1 dated 07.10.2021 16:05:42","3cddf099-4bbf-4c9c-807a-bb2388f83e42","3,000"
"Goods receipt 1 dated 07.10.2021 16:05:42","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","SI&SC","Goods receipt 1 dated 07.10.2021 16:05:42","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","4,000"
"Goods receipt 2 dated 07.10.2021 16:05:51","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","PI&GR","Purchase order 1 dated 07.10.2021 16:05:14","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","1,000"
"Goods receipt 2 dated 07.10.2021 16:05:51","b07db6dd-4d01-469c-a8e8-ccfb69c27f28","PI&GR","Purchase order 1 dated 07.10.2021 16:05:14","b07db6dd-4d01-469c-a8e8-ccfb69c27f28","20,000"
"Goods receipt 2 dated 07.10.2021 16:05:51","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","PI","Goods receipt 2 dated 07.10.2021 16:05:51","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","1,000"
"Goods receipt 2 dated 07.10.2021 16:05:51","b07db6dd-4d01-469c-a8e8-ccfb69c27f28","PI","Goods receipt 2 dated 07.10.2021 16:05:51","b07db6dd-4d01-469c-a8e8-ccfb69c27f28","20,000"
"Goods receipt 2 dated 07.10.2021 16:05:51","b07db6dd-4d01-469c-a8e8-ccfb69c27f28","SI&SC","Goods receipt 2 dated 07.10.2021 16:05:51","b07db6dd-4d01-469c-a8e8-ccfb69c27f28","20,000"
"Goods receipt 2 dated 07.10.2021 16:05:51","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","SI&SC","Goods receipt 2 dated 07.10.2021 16:05:51","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","1,000"
"Purchase invoice 2 dated 07.10.2021 16:05:56","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","PI","Goods receipt 2 dated 07.10.2021 16:05:51","6e8fe2b7-0bac-4b1e-92be-9a51ae0740b0","1,000"
"Purchase invoice 2 dated 07.10.2021 16:05:56","b07db6dd-4d01-469c-a8e8-ccfb69c27f28","PI","Goods receipt 2 dated 07.10.2021 16:05:51","b07db6dd-4d01-469c-a8e8-ccfb69c27f28","20,000"
"Sales invoice 1 dated 07.10.2021 16:06:06","1b08fb3c-845d-4912-9cc0-e07de99cb5c7","SI","Sales order 502 dated 30.03.2021 11:56:28","1b08fb3c-845d-4912-9cc0-e07de99cb5c7","2,000"
"Sales invoice 1 dated 07.10.2021 16:06:06","653068c5-a3a6-4d27-9e5e-1fc8102f7d91","SI&SC","Purchase invoice 1 dated 07.10.2021 16:05:26","653068c5-a3a6-4d27-9e5e-1fc8102f7d91","8,000"
"Sales invoice 1 dated 07.10.2021 16:06:06","647c0486-7e3c-49c1-aca2-7ffcc3246b18","SI&SC","Purchase invoice 1 dated 07.10.2021 16:05:26","647c0486-7e3c-49c1-aca2-7ffcc3246b18","11,000"
"Sales invoice 1 dated 07.10.2021 16:06:06","647c0486-7e3c-49c1-aca2-7ffcc3246b18","SC","Sales invoice 1 dated 07.10.2021 16:06:06","647c0486-7e3c-49c1-aca2-7ffcc3246b18","11,000"
"Shipment confirmation 1 dated 07.10.2021 16:06:13","647c0486-7e3c-49c1-aca2-7ffcc3246b18","SC","Sales invoice 1 dated 07.10.2021 16:06:06","647c0486-7e3c-49c1-aca2-7ffcc3246b18","11,000"
"Shipment confirmation 2 dated 07.10.2021 16:06:19","4a003d08-12af-4c34-98d5-5cdeb84616de","SI&SC","Goods receipt 1 dated 07.10.2021 16:05:42","4a003d08-12af-4c34-98d5-5cdeb84616de","5,000"
"Shipment confirmation 2 dated 07.10.2021 16:06:19","4a003d08-12af-4c34-98d5-5cdeb84616de","SI","Shipment confirmation 2 dated 07.10.2021 16:06:19","4a003d08-12af-4c34-98d5-5cdeb84616de","5,000"
