"Ref","DeletionMark","Code","Description_en","Description_hash","Description_ru","Description_tr"
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_PriceTypes","False","24","Price types","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_RetailCustomers","False","25","Retail customers","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_SerialLotNumbers","False","26","Serial lot numbers","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_SpecialOfferRules","False","27","Special offer rules","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_SpecialOffers","False","28","Special offers","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_SpecialOfferTypes","False","29","Special offer types","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_Specifications","False","30","Specifications","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_Stores","False","31","Stores","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_Taxes","False","32","Taxes","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_TaxRates","False","33","Tax rates","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_Units","False","34","Units","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_UserGroups","False","35","User groups","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_Users","False","36","Users","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_Workstations","False","37","Workstations","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_BankPayment","False","38","Bank payment","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_BankReceipt","False","39","Bank receipt","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_Bundling","False","40","Bundling","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_CashExpense","False","41","Cash expense","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_CashPayment","False","42","Cash payment","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_CashReceipt","False","43","Cash receipt","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_CashRevenue","False","44","Cash revenue","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_CashStatement","False","45","Cash statement","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_CashTransferOrder","False","46","Cash transfer order","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_CreditNote","False","48","Credit note","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_DebitNote","False","49","Debit note","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_GoodsReceipt","False","50","Goods receipt","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_IncomingPaymentOrder","False","51","Incoming payment order","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_InternalSupplyRequest","False","52","Internal supply request","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_InventoryTransfer","False","53","Inventory transfer","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_InventoryTransferOrder","False","54","Inventory transfer order","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_InvoiceMatch","False","55","Invoice match","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_Labeling","False","56","Labeling","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_OpeningEntry","False","57","Opening entry","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_OutgoingPaymentOrder","False","58","Outgoing payment order","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_PhysicalCountByLocation","False","59","Physical count by location","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_PhysicalInventory","False","60","Physical inventory","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_PriceList","False","61","Price list","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_PurchaseInvoice","False","62","Purchase invoice","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_PurchaseOrder","False","63","Purchase order","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_PurchaseReturn","False","64","Purchase return","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_PurchaseReturnOrder","False","65","Purchase return order","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_ReconciliationStatement","False","66","Reconciliation statement","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_RetailReturnReceipt","False","67","Retail return receipt","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_RetailSalesReceipt","False","68","Retail sales receipt","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_SalesInvoice","False","69","Sales invoice","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_SalesOrder","False","70","Sales order","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_SalesReturn","False","71","Sales return","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_SalesReturnOrder","False","72","Sales return order","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_ShipmentConfirmation","False","73","Shipment confirmation","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_StockAdjustmentAsSurplus","False","74","Stock adjustment as surplus","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_StockAdjustmentAsWriteOff","False","75","Stock adjustment as write off","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_Unbundling","False","76","Unbundling","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Catalog_LockDataModificationReasons","False","77","Lock data modification reasons","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_ItemStockAdjustment","False","78","Item stock adjustment","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_ManualRegisterEntry","False","79","Manual register entry","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_SalesOrderClosing","False","80","Sales order closing","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_PlannedReceiptReservation","False","81","Planned receipt reservation","","",""
"e1cib/data/Catalog.AddAttributeAndPropertySets?refName=Document_PurchaseOrderClosing","False","82","Purchase order closing","","",""
